Korean,English,Topic
오늘은 Mr.김이 참석할 수 없을 것 같습니다.,I’m afraid Mr.Kim can’t be with us today. ,화상회의 시 꼭 필요한 영어표현 12개
"존, 음소거 해줄 수 있나요?",John can you go on mute? ,화상회의 시 꼭 필요한 영어표현 12개
음소거 해주실 수 있나요?,Can you put yourself on mute?,화상회의 시 꼭 필요한 영어표현 12개
"수잔, 음소거를 해제해 주실 수 있나요?","Susan, could you unmute yourself?",화상회의 시 꼭 필요한 영어표현 12개
"수잔, 당신은 음소거 상태일 수도 있습니다","Susan, you may/might be on mute",화상회의 시 꼭 필요한 영어표현 12개
"수잔, 안 들려요. 음소거 상태인지 확인할 수 있나요?",Susan I can't hear you. Can you see if you're on mute?,화상회의 시 꼭 필요한 영어표현 12개
죄송합니다만 다른 회의에 들어가야 합니다.,"I’m sorry, but I need to jump on another call. ",화상회의 시 꼭 필요한 영어표현 12개
죄송해요. 다른 회의에 참석해야겠어요. 곧 다시 얘기하겠습니다.,"Sorry, I gotta hop on another call. We’ll talk again soon. ",화상회의 시 꼭 필요한 영어표현 12개
"수잔, 소리가 끊겨서 들려요. 연결 상태를 확인할 수 있나요?","Susan, you're breaking up. Can you check your connection?",화상회의 시 꼭 필요한 영어표현 12개
아직도 제 소리가 끊겨서 들리나요?,Am I still breaking up?,화상회의 시 꼭 필요한 영어표현 12개
"톰, 잠시 연결이 끊어졌어요. 다시 말씀해 주시겠어요?","Tom, we lost you for a minute. Can you say that again?",화상회의 시 꼭 필요한 영어표현 12개
죄송해요. 방금 제가 연결이 끊어졌어요.,"Sorry, I just got cut off.",화상회의 시 꼭 필요한 영어표현 12개
채팅(창)에 링크를 공유해주실 수 있나요?,Can you share the link in the chat (box)? ,화상회의 시 꼭 필요한 영어표현 12개
질문이나 의견이 있으시면 채팅(창)에 자유롭게 입력해 주세요.,"If you have any questions or comments, feel free to type them in the chat (box).",화상회의 시 꼭 필요한 영어표현 12개
잠시만요. 화면에 슬라이드를 공유하겠습니다.,Just a moment. Let me pull up the slides.,화상회의 시 꼭 필요한 영어표현 12개
잠시만요. 아직 불러오고 있어요,Just a second. It's still loading.,화상회의 시 꼭 필요한 영어표현 12개
제가 잠깐 여기서 말해도 될까요?,Can I jump in here for a second?,화상회의 시 꼭 필요한 영어표현 12개
질문이나 의견이 있으면 언제든지 말씀해주세요.,Feel free to jump in with any questions or comments.,화상회의 시 꼭 필요한 영어표현 12개
끼어들어서 미안해요.,Sorry to jump in.,화상회의 시 꼭 필요한 영어표현 12개
